year,month,metro,city,houseCnt,powerUsage,bill,latitude,longitude
2022,9,서울특별시,마포구,196767,259.82,29839,37.5652129,126.9773517
2022,9,서울특별시,양천구,190988,293.42,33066,37.5652129,126.9773517
2022,9,서울특별시,동작구,201149,245.63,27624,37.5652129,126.9773517
2022,9,서울특별시,중구,74712,234.49,27293,37.5652129,126.9773517
2022,9,서울특별시,용산구,123383,278.88,37588,37.5652129,126.9773517
2022,9,서울특별시,구로구,204769,255.66,27319,37.5652129,126.9773517
2022,9,서울특별시,강동구,206363,274.82,31438,37.5652129,126.9773517
2022,10,서울특별시,동대문구,192498,201.47,22113,37.5652129,126.9773517
2022,10,서울특별시,용산구,123388,222.83,28544,37.5652129,126.9773517
2022,10,서울특별시,성동구,139074,234.31,26608,37.5652129,126.9773517
2022,10,서울특별시,중랑구,197525,200.5,21809,37.5652129,126.9773517
2022,10,서울특별시,서초구,180059,259.84,34173,37.5652129,126.9773517
2022,10,서울특별시,강남구,265861,239.8,30116,37.5652129,126.9773517
2022,10,서울특별시,송파구,286431,241.13,27990,37.5652129,126.9773517
2022,10,서울특별시,광진구,185788,190.16,22310,37.5652129,126.9773517
2022,10,서울특별시,은평구,228915,217.03,24404,37.5652129,126.9773517
2022,10,서울특별시,구로구,205276,210.68,23141,37.5652129,126.9773517
2022,10,서울특별시,금천구,128147,193.11,21813,37.5652129,126.9773517
2022,10,서울특별시,중구,74786,194.48,22416,37.5652129,126.9773517
2022,10,서울특별시,노원구,224408,221.6,21997,37.5652129,126.9773517
2022,10,서울특별시,강서구,288635,208.03,22763,37.5652129,126.9773517
2022,10,서울특별시,영등포구,212303,202.53,22965,37.5652129,126.9773517
2022,10,서울특별시,관악구,298048,169.43,18836,37.5652129,126.9773517
2022,10,서울특별시,강동구,206551,223.73,25577,37.5652129,126.9773517
2022,10,서울특별시,종로구,87214,184.7,22893,37.5652129,126.9773517
2022,10,서울특별시,성북구,212340,223.56,25111,37.5652129,126.9773517
2022,10,서울특별시,도봉구,149439,212.49,22279,37.5652129,126.9773517
2022,10,서울특별시,서대문구,162305,209.34,23764,37.5652129,126.9773517
2022,10,서울특별시,마포구,196787,211.76,24188,37.5652129,126.9773517
2022,10,서울특별시,강북구,157329,193.13,20571,37.5652129,126.9773517
2022,10,서울특별시,양천구,190975,238.73,26826,37.5652129,126.9773517
2022,10,서울특별시,동작구,200968,201.36,22971,37.5652129,126.9773517
2022,11,서울특별시,성동구,139160,229.21,26681,37.5652129,126.9773517
2022,11,서울특별시,중랑구,197871,200.99,22668,37.5652129,126.9773517
2022,11,서울특별시,강동구,206898,224.37,26602,37.5652129,126.9773517
2022,11,서울특별시,광진구,185860,188.27,22872,37.5652129,126.9773517
2022,11,서울특별시,강북구,157264,195.88,21919,37.5652129,126.9773517
2022,11,서울특별시,도봉구,149509,219.61,24170,37.5652129,126.9773517
2022,11,서울특별시,구로구,205485,211.6,24154,37.5652129,126.9773517
2022,11,서울특별시,영등포구,212603,197.81,22963,37.5652129,126.9773517
2022,11,서울특별시,강남구,267204,232.8,29523,37.5652129,126.9773517
2022,11,서울특별시,노원구,225246,229.25,24008,37.5652129,126.9773517
2022,11,서울특별시,양천구,191352,237.47,27498,37.5652129,126.9773517
2022,11,서울특별시,서초구,180064,253.93,33751,37.5652129,126.9773517
2022,11,서울특별시,중구,75820,190.48,22447,37.5652129,126.9773517
2022,11,서울특별시,성북구,212424,222.69,26029,37.5652129,126.9773517
2022,11,서울특별시,서대문구,162379,209.21,24494,37.5652129,126.9773517
2022,11,서울특별시,마포구,196768,208.82,24437,37.5652129,126.9773517
2022,11,서울특별시,금천구,128291,191.53,22362,37.5652129,126.9773517
2022,11,서울특별시,송파구,286543,241.51,29059,37.5652129,126.9773517
2022,11,서울특별시,은평구,228887,218.63,25540,37.5652129,126.9773517
2022,11,서울특별시,강서구,288935,203.66,23004,37.5652129,126.9773517
2022,11,서울특별시,관악구,298284,166.35,19200,37.5652129,126.9773517
2022,11,서울특별시,용산구,123410,217.3,28164,37.5652129,126.9773517
2022,11,서울특별시,종로구,87278,184.31,23570,37.5652129,126.9773517
2022,11,서울특별시,동대문구,193424,196.67,22357,37.5652129,126.9773517
2022,11,서울특별시,동작구,200669,201.18,23896,37.5652129,126.9773517
2022,12,서울특별시,광진구,185834,200.04,24893,37.5652129,126.9773517
2022,12,서울특별시,성북구,212471,234.11,28217,37.5652129,126.9773517
2022,12,서울특별시,강남구,267647,249.64,33242,37.5652129,126.9773517
2022,12,서울특별시,중구,75773,211.23,26364,37.5652129,126.9773517
2022,12,서울특별시,강동구,206918,236.51,28738,37.5652129,126.9773517
2022,12,서울특별시,종로구,87279,202.32,27213,37.5652129,126.9773517
2022,12,서울특별시,노원구,225778,244.95,26629,37.5652129,126.9773517
2022,12,서울특별시,마포구,196831,224.28,27271,37.5652129,126.9773517
2022,12,서울특별시,송파구,286565,252.64,31400,37.5652129,126.9773517
2022,12,서울특별시,동대문구,193641,207.79,24279,37.5652129,126.9773517
2022,12,서울특별시,강북구,157284,206.57,23701,37.5652129,126.9773517
2022,12,서울특별시,도봉구,149510,233.79,26416,37.5652129,126.9773517
2022,12,서울특별시,동작구,200275,209.44,25199,37.5652129,126.9773517
2022,12,서울특별시,용산구,123339,233.65,31706,37.5652129,126.9773517
2022,12,서울특별시,은평구,229183,229.75,27730,37.5652129,126.9773517
2022,12,서울특별시,금천구,128428,204.02,24479,37.5652129,126.9773517
2022,12,서울특별시,영등포구,212746,213.22,25383,37.5652129,126.9773517
2022,12,서울특별시,성동구,139357,240.53,28697,37.5652129,126.9773517
2022,12,서울특별시,서대문구,162660,226.78,27872,37.5652129,126.9773517
2022,12,서울특별시,양천구,191436,249.49,29529,37.5652129,126.9773517
2022,12,서울특별시,서초구,180346,266.76,36276,37.5652129,126.9773517
2022,12,서울특별시,강서구,288748,213.25,24732,37.5652129,126.9773517
2022,12,서울특별시,중랑구,198001,213.77,24892,37.5652129,126.9773517
2022,12,서울특별시,구로구,205483,225.9,26570,37.5652129,126.9773517
2022,12,서울특별시,관악구,298363,175.49,20665,37.5652129,126.9773517
2022,1,부산광역시,동구,55609,211.88,24199,35.1731121,129.0714122
2022,1,부산광역시,남구,137109,255.55,30098,35.1731121,129.0714122
2022,1,부산광역시,북구,133182,268.74,29379,35.1731121,129.0714122
2022,1,부산광역시,영도구,65059,221.07,24676,35.1731121,129.0714122
2022,1,부산광역시,사상구,108525,244.77,26794,35.1731121,129.0714122
2022,1,부산광역시,기장군,54379,245.31,29261,35.1731121,129.0714122
2022,1,부산광역시,중구,32751,173.07,19604,35.1731121,129.0714122
2022,1,부산광역시,서구,63558,224.32,26548,35.1731121,129.0714122
2022,1,부산광역시,강서구,70767,272.52,32437,35.1731121,129.0714122
2022,1,부산광역시,연제구,104071,265.71,30713,35.1731121,129.0714122
2022,1,부산광역시,수영구,99551,242.37,28275,35.1731121,129.0714122
2022,1,부산광역시,부산진구,201924,238.25,26803,35.1731121,129.0714122
2022,1,부산광역시,사하구,159929,244.33,27157,35.1731121,129.0714122
2022,1,부산광역시,금정구,129039,234.73,27510,35.1731121,129.0714122
2022,1,부산광역시,동래구,133434,258.79,30632,35.1731121,129.0714122
2022,1,부산광역시,해운대구,188854,275.61,31861,35.1731121,129.0714122
2022,2,부산광역시,남구,135194,257.13,30760,35.1731121,129.0714122
2022,2,부산광역시,수영구,98329,244.61,29077,35.1731121,129.0714122
2022,2,부산광역시,사상구,104323,246.34,28059,35.1731121,129.0714122
2022,2,부산광역시,연제구,102317,269.73,31813,35.1731121,129.0714122
2022,2,부산광역시,서구,62419,224.04,27219,35.1731121,129.0714122
2022,2,부산광역시,부산진구,201049,236.16,27064,35.1731121,129.0714122
2022,2,부산광역시,중구,32349,174.16,20229,35.1731121,129.0714122
2022,2,부산광역시,북구,131362,273.12,30235,35.1731121,129.0714122
2022,2,부산광역시,해운대구,190828,280.96,33022,35.1731121,129.0714122
2022,2,부산광역시,금정구,126799,236.47,28313,35.1731121,129.0714122
2022,2,부산광역시,동구,54420,218.61,25683,35.1731121,129.0714122
2022,2,부산광역시,영도구,64460,224.05,25665,35.1731121,129.0714122
2022,2,부산광역시,동래구,131790,267.07,32304,35.1731121,129.0714122
2022,2,부산광역시,강서구,70343,273.95,32977,35.1731121,129.0714122
2022,2,부산광역시,기장군,54146,235.83,27889,35.1731121,129.0714122
2022,2,부산광역시,사하구,157869,245.09,27656,35.1731121,129.0714122
2022,3,부산광역시,중구,32322,151.87,16078,35.1731121,129.0714122
2022,3,부산광역시,부산진구,201029,208.41,21876,35.1731121,129.0714122
2022,3,부산광역시,해운대구,190838,252.88,27955,35.1731121,129.0714122
2022,3,부산광역시,강서구,70360,241.62,26800,35.1731121,129.0714122
2022,3,부산광역시,연제구,102280,237.13,25676,35.1731121,129.0714122
2022,3,부산광역시,수영구,98382,213.1,22957,35.1731121,129.0714122
2022,3,부산광역시,사상구,106260,210.26,21831,35.1731121,129.0714122
2022,3,부산광역시,동구,54619,190.76,20444,35.1731121,129.0714122
2022,3,부산광역시,기장군,54890,217.6,23881,35.1731121,129.0714122
2022,3,부산광역시,사하구,158138,215.56,22287,35.1731121,129.0714122
2022,3,부산광역시,금정구,126937,206.5,22420,35.1731121,129.0714122
2022,3,부산광역시,동래구,131668,237.15,26115,35.1731121,129.0714122
2022,3,부산광역시,북구,131806,238.65,23937,35.1731121,129.0714122
2022,3,부산광역시,서구,62421,196.71,21505,35.1731121,129.0714122
2022,3,부산광역시,영도구,64425,194.07,20152,35.1731121,129.0714122
2022,3,부산광역시,남구,135651,227.28,24965,35.1731121,129.0714122
2022,4,부산광역시,부산진구,201115,212.85,21877,35.1731121,129.0714122
